Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
Table: DT_BaseCombatWeapon, Prop: m_iViewModelIndex, Offset: 0x1C14
Table: DT_BaseCombatWeapon, Prop: m_iWorldModelIndex, Offset: 0x1C18
Table: DT_BaseCombatWeapon, Prop: m_iState, Offset: 0x1C38
Table: DT_BaseCombatWeapon, Prop: m_hOwner, Offset: 0x1BF8
